file,labels
000309.jpg,pink_skirt
000144.jpg,pink_skirt
000474.jpg,pink_skirt
000044.jpg,pink_skirt
000413.jpg,pink_skirt
000043.jpg,pink_skirt
000447.jpg,pink_skirt
000246.jpg,pink_skirt
000450.jpg,pink_skirt
000319.jpg,pink_skirt
000287.jpg,pink_skirt
000520.jpg,pink_skirt
000463.jpg,pink_skirt
000051.jpg,pink_skirt
000211.jpg,pink_skirt
000025.jpg,pink_skirt
000012.jpg,pink_skirt
000125.jpg,pink_skirt
000300.jpg,pink_skirt
000511.jpg,pink_skirt
000093.jpg,pink_skirt
000007.jpg,pink_skirt
000370.jpg,pink_skirt
000320.jpg,pink_skirt
000366.jpg,pink_skirt
000269.jpg,pink_skirt
000374.jpg,pink_skirt
000127.jpg,pink_skirt
000048.jpg,pink_skirt
000535.jpg,pink_skirt
000442.jpg,pink_skirt
000523.jpg,pink_skirt
000073.jpg,pink_skirt
000317.jpg,pink_skirt
000367.jpg,pink_skirt
000318.jpg,pink_skirt
000121.jpg,pink_skirt
000282.jpg,pink_skirt
000298.jpg,pink_skirt
000482.jpg,pink_skirt
000457.jpg,pink_skirt
000159.jpg,pink_skirt
000249.jpg,pink_skirt
000065.jpg,pink_skirt
000016.jpg,pink_skirt
000223.jpg,pink_skirt
000147.jpg,pink_skirt
000220.jpg,pink_skirt
000135.jpg,pink_skirt
000289.jpg,pink_skirt
000120.jpg,pink_skirt
000294.jpg,pink_skirt
000452.jpg,pink_skirt
000047.jpg,pink_skirt
000124.jpg,pink_skirt
000197.jpg,pink_skirt
000177.jpg,pink_skirt
000053.jpg,pink_skirt
000001.jpg,pink_skirt
000559.jpg,pink_skirt
000102.jpg,pink_skirt
000256.jpg,pink_skirt
000026.jpg,pink_skirt
000467.jpg,pink_skirt
000509.jpg,pink_skirt
000018.jpg,pink_skirt
000518.jpg,pink_skirt
000010.jpg,pink_skirt
000040.jpg,pink_skirt
000310.jpg,pink_skirt
000397.jpg,pink_skirt
000088.jpg,pink_skirt
000355.jpg,pink_skirt
000030.jpg,pink_skirt
000034.jpg,pink_skirt
000290.jpg,pink_skirt
000308.jpg,pink_skirt
000558.jpg,pink_skirt
000278.jpg,pink_skirt
000091.jpg,pink_skirt
000267.jpg,pink_skirt
000376.jpg,pink_skirt
000321.jpg,pink_skirt
000064.jpg,pink_skirt
000045.jpg,pink_skirt
000356.jpg,pink_skirt
000548.jpg,pink_skirt
000181.jpg,pink_skirt
000005.jpg,pink_skirt
000075.jpg,pink_skirt
